session_duration,bytes_sent,bytes_received,failed_logins,country_risk_score,is_vpn,is_malicious
103,70363,76398,7,14,0,0
436,53217,59338,8,10,1,1
861,58494,2247,4,40,1,0
271,23882,99019,1,23,1,1
107,28554,99351,1,99,1,1
72,68004,38545,6,55,0,0
701,15692,53903,0,63,0,1
21,22273,61208,9,71,0,1
615,33304,2113,1,42,1,0
122,35696,85717,9,99,1,0
467,34424,82510,3,66,1,0
215,61302,53602,0,79,0,0
331,89500,37855,3,73,1,0
459,30850,8833,9,47,1,0
88,76212,9579,4,81,0,1
373,16666,75461,8,52,0,0
100,7290,21404,0,18,1,0
872,88707,35794,4,79,0,0
664,38433,81271,1,18,1,1
131,81005,86396,8,24,1,0
662,89671,9590,5,23,0,0
309,1689,21352,1,12,1,1
770,25335,6962,2,23,0,1
344,259,70059,7,21,0,0
492,12245,10550,0,64,1,1
414,81009,56122,2,90,0,1
806,32021,62091,9,72,1,0
386,16337,41027,0,94,1,0
192,8344,88190,7,34,0,0
956,14843,49953,0,2,0,1
277,97202,31926,4,69,0,0
161,46201,42979,3,31,1,1
460,84327,57365,6,97,1,0
314,99632,72461,4,68,1,1
22,56478,78090,7,70,1,0
253,71226,89887,0,87,1,1
748,56171,86284,4,19,1,0
857,71221,40836,3,72,1,0
561,74863,24630,2,13,0,0
475,93914,78152,4,65,1,1
59,12337,47158,9,6,1,1
511,15749,74194,2,71,0,0
682,37813,74355,7,27,1,1
476,73563,4986,2,79,1,0
700,45509,93821,0,52,0,1
976,48866,37487,8,98,1,0
783,46254,21675,8,87,0,1
190,7116,39743,5,48,1,1
958,79663,10200,9,88,1,1
687,48788,60456,0,79,0,1
958,89778,7956,7,99,0,1
563,54338,38269,1,68,1,0
876,58708,28904,8,44,1,1
567,89181,35890,7,17,0,1
244,31997,31088,2,95,1,1
832,51061,76548,4,38,0,1
505,68803,38606,8,10,0,0
131,44857,88004,0,54,0,1
485,27017,67406,8,91,1,1
819,22836,12405,3,6,1,0
647,28090,10069,3,6,1,0
21,62651,12504,3,52,0,1
841,58261,9089,9,15,1,0
167,79723,65405,8,68,0,1
274,22540,36083,5,57,0,1
388,35305,39562,7,56,1,0
601,80911,19460,3,7,1,1
316,55203,85757,2,51,0,0
14,70912,26387,0,58,1,0
242,41727,65572,9,64,0,1
777,19108,61413,6,26,1,1
346,71374,34260,3,58,0,0
565,32502,6889,7,31,1,1
898,53484,27281,2,66,0,0
340,5893,14485,0,92,1,0
92,5671,82697,4,13,0,0
367,96967,65741,1,18,0,0
956,16309,44347,2,94,0,1
455,91030,86773,5,75,0,1
428,43248,5644,2,13,0,1
509,91318,13375,2,24,0,1
776,2324,63348,5,57,1,1
943,48795,34650,4,29,0,1
35,32541,53793,9,56,0,0
206,39229,19741,8,54,1,1
81,62468,71849,0,5,1,0
932,92222,80121,2,35,0,0
562,44860,15705,2,19,1,0
872,23578,50813,5,55,1,1
388,71954,20490,7,77,0,0
2,94330,75503,2,69,0,1
390,85816,58566,2,44,1,0
566,12280,4081,5,78,1,1
106,98638,9593,7,38,1,1
772,15472,71318,5,62,1,1
822,29896,71418,9,22,1,1
477,58372,95435,2,73,1,1
703,90063,17084,3,40,0,0
402,98926,22860,0,26,1,1
730,93735,91629,7,5,0,1
556,54140,1624,3,93,0,0
162,75457,49502,5,54,1,1
202,71468,91756,2,86,0,1
958,78456,65714,5,49,1,1
996,16311,35991,8,3,0,1
270,5942,91109,8,92,1,1
863,63215,39932,9,38,0,0
816,66952,45936,2,14,1,1
271,46068,74053,2,47,0,0
456,17608,13462,3,14,1,1
462,22105,66845,6,75,0,0
727,54675,38021,2,73,0,0
252,80842,70534,9,38,0,0
702,19071,18662,7,64,1,1
296,25699,64610,7,44,1,1
725,87692,76507,5,70,1,0
720,67014,7710,3,65,1,1
749,67155,93018,4,25,1,1
338,87797,15891,1,16,0,0
879,5455,58147,5,15,1,1
53,54220,68006,2,98,1,0
792,74719,19765,5,81,0,1
922,38442,70346,4,3,1,0
217,86092,65964,1,67,1,1
764,78960,46551,4,37,1,1
188,2357,86248,4,81,1,0
380,27464,45990,8,55,1,0
493,25072,6894,7,38,1,1
41,26754,32988,6,63,0,0
157,80869,6849,2,1,1,0
15,81523,46631,9,71,1,0
813,29420,20708,3,90,1,0
65,20908,81086,5,19,0,0
857,52489,69311,2,52,0,1
839,95790,84096,8,30,0,0
521,34873,56117,7,55,0,0
344,51268,57776,5,14,1,0
129,27847,11660,3,13,0,0
648,76496,54501,6,84,1,1
472,83792,50568,2,90,1,0
63,57605,32563,9,27,1,1
139,85996,31763,7,89,0,1
